onset	duration	sample	sub_block	trial	focus_modality	event_type	attention_status	task_role	condition	event_code	cond_code
1.02	n/a	256	0	0	visual	pause_recording	n/a	n/a	attend_visual	202	2
23.86	n/a	5966	1	0	visual	look_word	unattended	cue_visual	attend_visual	2	2
24.2	n/a	6051	1	1	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
24.78	n/a	6196	1	2	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
25.48	n/a	6371	1	3	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
26.128	n/a	6533	1	4	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
26.336	n/a	6585	1	5	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
26.956	n/a	6740	1	6	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
27.28	n/a	6821	1	7	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
27.744	n/a	6937	1	8	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
28.396	n/a	7100	1	9	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
29.088	n/a	7273	1	10	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
29.352	n/a	7339	1	11	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
29.68	n/a	7421	2	11	visual	hear_word	unattended	cue_visual	attend_visual	1	2
30.188	n/a	7548	2	12	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
30.992	n/a	7749	2	13	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
31.412	n/a	7854	2	14	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
31.632	n/a	7909	2	15	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
31.896	n/a	7975	3	15	visual	look_word	unattended	cue_visual	attend_visual	2	2
32.252	n/a	8064	3	16	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
32.932	n/a	8234	3	17	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
33.26	n/a	8316	3	17	visual	button_press	n/a	target_detected	attend_visual	201	2
33.528	n/a	8383	3	18	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
33.992	n/a	8499	3	19	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
34.24	n/a	8561	3	20	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
34.988	n/a	8748	3	21	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
35.388	n/a	8848	4	21	visual	hear_word	unattended	cue_visual	attend_visual	1	2
35.864	n/a	8967	4	22	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
36.292	n/a	9074	4	23	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
36.892	n/a	9224	4	24	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
37.112	n/a	9279	4	25	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
37.576	n/a	9395	4	26	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
37.94	n/a	9486	4	27	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
38.164	n/a	9542	4	28	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
38.54	n/a	9636	4	29	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
39.1	n/a	9776	4	30	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
39.836	n/a	9960	5	30	visual	look_word	unattended	cue_visual	attend_visual	2	2
40.292	n/a	10074	5	31	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
40.668	n/a	10168	5	32	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
41.052	n/a	10264	5	32	visual	button_press	n/a	target_detected	attend_visual	201	2
41.848	n/a	10463	5	33	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
42.56	n/a	10641	5	34	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
42.824	n/a	10707	5	35	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
43.068	n/a	10768	5	36	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
43.196	n/a	10800	5	36	visual	button_press	n/a	target_detected	attend_visual	201	2
43.668	n/a	10918	5	37	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
44.348	n/a	11088	5	38	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
44.68	n/a	11171	5	38	visual	button_press	n/a	target_detected	attend_visual	201	2
45.084	n/a	11272	5	39	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
45.46	n/a	11366	5	40	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
46.072	n/a	11519	5	41	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
46.304	n/a	11577	5	42	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
46.7	n/a	11676	5	43	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
47.38	n/a	11846	5	44	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
48.184	n/a	12047	5	45	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
48.956	n/a	12240	5	46	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
49.212	n/a	12304	6	46	visual	hear_word	unattended	cue_visual	attend_visual	1	2
49.716	n/a	12430	6	47	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
50.056	n/a	12515	6	48	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
50.36	n/a	12591	6	49	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
51.1	n/a	12776	6	50	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
51.668	n/a	12918	6	51	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
52.136	n/a	13035	6	52	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
52.56	n/a	13141	6	53	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
53.204	n/a	13302	6	54	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
53.72	n/a	13431	6	55	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
54.124	n/a	13532	7	55	visual	look_word	unattended	cue_visual	attend_visual	2	2
54.452	n/a	13614	7	56	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
54.804	n/a	13702	7	57	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
55.024	n/a	13757	7	58	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
55.124	n/a	13782	7	58	visual	button_press	n/a	target_detected	attend_visual	201	2
55.7	n/a	13926	7	59	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
56.444	n/a	14112	7	60	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
56.808	n/a	14203	7	61	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
56.836	n/a	14210	7	61	visual	button_press	n/a	target_detected	attend_visual	201	2
57.452	n/a	14364	7	62	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
58.02	n/a	14506	7	63	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
58.408	n/a	14603	7	63	visual	button_press	n/a	target_detected	attend_visual	201	2
58.608	n/a	14653	7	64	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
59.376	n/a	14845	7	65	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
60.024	n/a	15007	7	66	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
60.372	n/a	15094	7	67	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
61.084	n/a	15272	8	67	visual	hear_word	unattended	cue_visual	attend_visual	1	2
61.448	n/a	15363	8	68	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
61.74	n/a	15436	8	69	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
62.036	n/a	15510	8	70	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
62.608	n/a	15653	8	71	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
62.872	n/a	15719	8	72	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
63.244	n/a	15812	8	73	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
63.256	n/a	15815	8	73	visual	button_press	n/a	target_detected	attend_visual	201	2
63.988	n/a	15998	8	74	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
64.216	n/a	16055	8	75	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
64.536	n/a	16135	8	76	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
64.756	n/a	16190	8	77	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
65.476	n/a	16370	8	78	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
65.792	n/a	16449	8	79	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
66.084	n/a	16522	9	79	visual	look_word	unattended	cue_visual	attend_visual	2	2
66.62	n/a	16656	9	80	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
