onset	duration	sample	sub_block	trial	focus_modality	event_type	attention_status	task_role	condition	event_code	cond_code
131.068	n/a	32768	0	0	auditory	pause_recording	n/a	n/a	attend_auditory	202	1
161.844	n/a	40462	1	0	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
162.348	n/a	40588	1	1	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
162.588	n/a	40648	1	2	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
163.256	n/a	40815	1	3	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
163.972	n/a	40994	1	4	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
164.444	n/a	41112	1	5	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
165.016	n/a	41255	1	6	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
165.208	n/a	41303	1	6	auditory	button_press	n/a	target_detected	attend_auditory	201	1
165.336	n/a	41335	1	7	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
165.596	n/a	41400	1	8	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
166.12	n/a	41531	1	9	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
166.16	n/a	41541	1	9	auditory	button_press	n/a	target_detected	attend_auditory	201	1
166.432	n/a	41609	2	9	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1
166.844	n/a	41712	2	10	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
167.136	n/a	41785	2	11	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
167.916	n/a	41980	2	12	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
168.144	n/a	42037	2	13	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
168.824	n/a	42207	2	14	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
169.084	n/a	42272	2	14	auditory	button_press	n/a	target_detected	attend_auditory	201	1
169.208	n/a	42303	2	15	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
169.588	n/a	42398	2	16	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
170.136	n/a	42535	2	17	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
170.34	n/a	42586	2	18	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
170.576	n/a	42645	2	18	auditory	button_press	n/a	target_detected	attend_auditory	201	1
170.732	n/a	42684	2	19	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
