sample_offset	event_code	cond_code	type	latency	urevent	usertags
440	199	0	199	440	1	
582	199	0	199	582	2	
962	199	0	199	962	3	
1216	199	0	199	1216	4	
1470	199	0	199	1470	5	
1724	199	0	199	1724	6	
2104	199	0	199	2104	7	
2358	199	0	199	2358	8	
2612	199	0	199	2612	9	
2865	199	0	199	2865	10	
3119	199	0	199	3119	11	
3753	199	0	199	3753	12	
4007	199	0	199	4007	13	
4261	199	0	199	4261	14	
4515	199	0	199	4515	15	
4641	199	0	199	4641	16	
4895	199	0	199	4895	17	
5149	199	0	199	5149	18	
5403	199	0	199	5403	19	
5783	199	0	199	5783	20	
6037	199	0	199	6037	21	
6291	199	0	199	6291	22	
6545	199	0	199	6545	23	
6925	199	0	199	6925	24	
7052	199	0	199	7052	25	
7179	199	0	199	7179	26	
7433	199	0	199	7433	27	
7686	199	0	199	7686	28	
7940	199	0	199	7940	29	
8194	199	0	199	8194	30	
8574	199	0	199	8574	31	
8828	199	0	199	8828	32	
9082	199	0	199	9082	33	
9336	199	0	199	9336	34	
9462	199	0	199	9462	35	
9716	199	0	199	9716	36	
9970	199	0	199	9970	37	
10224	199	0	199	10224	38	
10353	199	0	199	10353	39	
10478	199	0	199	10478	40	
10604	199	0	199	10604	41	
10858	199	0	199	10858	42	
11112	199	0	199	11112	43	
11619	199	0	199	11619	44	
11873	199	0	199	11873	45	
12127	199	0	199	12127	46	
12253	199	0	199	12253	47	
12507	199	0	199	12507	48	
12761	199	0	199	12761	49	
13015	199	0	199	13015	50	
13269	199	0	199	13269	51	
13395	199	0	199	13395	52	
13649	199	0	199	13649	53	
13903	199	0	199	13903	54	
14032	199	0	199	14032	55	
14157	199	0	199	14157	56	
14165	199	0	199	14165	57	
14286	199	0	199	14286	58	
14294	199	0	199	14294	59	
14410	199	0	199	14410	60	
14415	199	0	199	14415	61	
14537	199	0	199	14537	62	
14664	199	0	199	14664	63	
14791	199	0	199	14791	64	
15044	199	0	199	15044	65	
15190	199	0	199	15190	66	
15298	199	0	199	15298	67	
