onset	duration	sample	sub_block	trial	focus_modality	event_type	attention_status	task_role	condition	event_code	cond_code
1.02	n/a	256	0	0	n/a	pause_recording	n/a	n/a	shift_attention	202	3
4.608	n/a	1153	1	0	auditory	hear_word	attended	cue_auditory	shift_attention	1	3
5.392	n/a	1349	1	1	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
5.708	n/a	1428	1	2	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
5.94	n/a	1486	1	3	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
6.336	n/a	1585	1	4	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
6.588	n/a	1648	1	5	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
7.164	n/a	1792	1	6	auditory	high_tone	attended	infrequent_stimulus	shift_attention	7	3
7.504	n/a	1877	1	6	auditory	button_press	n/a	target_detected	shift_attention	201	3
7.812	n/a	1954	1	7	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
8.092	n/a	2024	2	7	visual	look_word	attended	cue_visual	shift_attention	2	3
8.792	n/a	2199	2	8	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
9.208	n/a	2303	2	9	visual	high_tone	unattended	infrequent_stimulus	shift_attention	9	3
9.444	n/a	2362	2	10	visual	low_tone	unattended	frequent_stimulus	shift_attention	13	3
9.984	n/a	2497	2	11	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
10.796	n/a	2700	2	12	visual	light_bar	attended	infrequent_stimulus	shift_attention	8	3
11.08	n/a	2771	2	13	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
11.092	n/a	2774	2	13	visual	button_press	n/a	target_detected	shift_attention	201	3
11.592	n/a	2899	2	14	visual	low_tone	unattended	frequent_stimulus	shift_attention	13	3
11.824	n/a	2957	2	15	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
12.572	n/a	3144	2	16	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
12.964	n/a	3242	3	16	auditory	hear_word	attended	cue_auditory	shift_attention	1	3
13.364	n/a	3342	3	17	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
13.628	n/a	3408	3	18	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
14.068	n/a	3518	3	19	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
14.812	n/a	3704	3	20	auditory	high_tone	attended	infrequent_stimulus	shift_attention	7	3
15.156	n/a	3790	3	21	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
15.308	n/a	3828	3	21	auditory	button_press	n/a	target_detected	shift_attention	201	3
15.9	n/a	3976	3	22	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
16.28	n/a	4071	3	23	auditory	light_bar	unattended	infrequent_stimulus	shift_attention	10	3
17.028	n/a	4258	3	24	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
17.564	n/a	4392	3	25	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
17.972	n/a	4494	3	26	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
18.7	n/a	4676	4	26	visual	look_word	attended	cue_visual	shift_attention	2	3
19.128	n/a	4783	4	27	visual	low_tone	unattended	frequent_stimulus	shift_attention	13	3
19.448	n/a	4863	4	28	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
19.876	n/a	4970	4	29	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
20.552	n/a	5139	4	30	visual	low_tone	unattended	frequent_stimulus	shift_attention	13	3
21.004	n/a	5252	4	31	visual	light_bar	attended	infrequent_stimulus	shift_attention	8	3
21.42	n/a	5356	4	32	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
21.448	n/a	5363	4	32	visual	button_press	n/a	target_detected	shift_attention	201	3
22.028	n/a	5508	4	33	visual	low_tone	unattended	frequent_stimulus	shift_attention	13	3
22.328	n/a	5583	4	34	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
22.556	n/a	5640	5	34	auditory	hear_word	attended	cue_auditory	shift_attention	1	3
22.896	n/a	5725	5	35	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
23.276	n/a	5820	5	36	auditory	high_tone	attended	infrequent_stimulus	shift_attention	7	3
24.004	n/a	6002	5	37	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
24.16	n/a	6041	5	37	auditory	button_press	n/a	target_detected	shift_attention	201	3
24.7	n/a	6176	5	38	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
25.208	n/a	6303	5	39	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
25.74	n/a	6436	5	40	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
26.26	n/a	6566	5	41	auditory	high_tone	attended	infrequent_stimulus	shift_attention	7	3
26.524	n/a	6632	5	41	auditory	button_press	n/a	target_detected	shift_attention	201	3
26.872	n/a	6719	5	42	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
27.688	n/a	6923	5	43	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
28.012	n/a	7004	5	44	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
28.66	n/a	7166	5	45	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
29.388	n/a	7348	5	46	auditory	light_bar	unattended	infrequent_stimulus	shift_attention	10	3
29.756	n/a	7440	5	47	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
30.564	n/a	7642	5	48	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
30.948	n/a	7738	5	49	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
31.676	n/a	7920	5	50	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
32.092	n/a	8024	5	51	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
32.452	n/a	8114	6	51	visual	look_word	attended	cue_visual	shift_attention	2	3
33.068	n/a	8268	6	52	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
33.344	n/a	8337	6	53	visual	low_tone	unattended	frequent_stimulus	shift_attention	13	3
33.696	n/a	8425	6	54	visual	light_bar	attended	infrequent_stimulus	shift_attention	8	3
33.988	n/a	8498	6	54	visual	button_press	n/a	target_detected	shift_attention	201	3
34.028	n/a	8508	6	55	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
34.856	n/a	8715	6	56	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
35.548	n/a	8888	6	57	visual	low_tone	unattended	frequent_stimulus	shift_attention	13	3
35.784	n/a	8947	6	58	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
36.492	n/a	9124	6	59	visual	low_tone	unattended	frequent_stimulus	shift_attention	13	3
36.78	n/a	9196	6	60	visual	light_bar	attended	infrequent_stimulus	shift_attention	8	3
37.072	n/a	9269	6	60	visual	button_press	n/a	target_detected	shift_attention	201	3
37.46	n/a	9366	6	61	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
38.104	n/a	9527	6	62	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
38.876	n/a	9720	7	62	auditory	hear_word	attended	cue_auditory	shift_attention	1	3
39.264	n/a	9817	7	63	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
39.616	n/a	9905	7	64	auditory	high_tone	attended	infrequent_stimulus	shift_attention	7	3
39.964	n/a	9992	7	64	auditory	button_press	n/a	target_detected	shift_attention	201	3
40.012	n/a	10004	7	65	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
40.808	n/a	10203	7	66	auditory	high_tone	attended	infrequent_stimulus	shift_attention	7	3
41.108	n/a	10278	7	66	auditory	button_press	n/a	target_detected	shift_attention	201	3
41.368	n/a	10343	7	67	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
42.044	n/a	10512	7	68	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
42.596	n/a	10650	7	69	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
43.176	n/a	10795	7	70	auditory	light_bar	unattended	infrequent_stimulus	shift_attention	10	3
43.732	n/a	10934	7	71	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
43.964	n/a	10992	7	72	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
44.188	n/a	11048	7	73	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
44.372	n/a	11094	7	73	auditory	button_press	n/a	target_detected	shift_attention	201	3
44.436	n/a	11110	7	74	auditory	high_tone	attended	infrequent_stimulus	shift_attention	7	3
45.12	n/a	11281	8	74	visual	look_word	attended	cue_visual	shift_attention	2	3
45.496	n/a	11375	8	75	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
46.08	n/a	11521	8	76	visual	high_tone	unattended	infrequent_stimulus	shift_attention	9	3
46.456	n/a	11615	8	77	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
47.028	n/a	11758	8	78	visual	low_tone	unattended	frequent_stimulus	shift_attention	13	3
47.284	n/a	11822	8	79	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
47.896	n/a	11975	8	80	visual	light_bar	attended	infrequent_stimulus	shift_attention	8	3
48.208	n/a	12053	8	80	visual	button_press	n/a	target_detected	shift_attention	201	3
48.612	n/a	12154	8	81	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
49.024	n/a	12257	8	82	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
49.372	n/a	12344	8	83	visual	light_bar	attended	infrequent_stimulus	shift_attention	8	3
49.72	n/a	12431	8	83	visual	button_press	n/a	target_detected	shift_attention	201	3
50.152	n/a	12539	8	84	visual	dark_bar	attended	frequent_stimulus	shift_attention	12	3
50.904	n/a	12727	9	84	auditory	hear_word	attended	cue_auditory	shift_attention	1	3
51.28	n/a	12821	9	85	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
51.624	n/a	12907	9	86	auditory	high_tone	attended	infrequent_stimulus	shift_attention	7	3
52.224	n/a	13057	9	87	auditory	light_bar	unattended	infrequent_stimulus	shift_attention	10	3
52.764	n/a	13192	9	88	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
53.148	n/a	13288	9	89	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
53.928	n/a	13483	9	90	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
54.392	n/a	13599	9	91	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
54.804	n/a	13702	9	92	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
55.148	n/a	13788	9	93	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
55.404	n/a	13852	9	94	auditory	dark_bar	unattended	frequent_stimulus	shift_attention	14	3
55.76	n/a	13941	9	95	auditory	low_tone	attended	frequent_stimulus	shift_attention	11	3
