onset	duration	sample	sub_block	trial	focus_modality	event_type	attention_status	task_role	condition	event_code	cond_code
48.952	n/a	12239	1	0	visual	look_word	unattended	cue_visual	attend_visual	2	2
49.492	n/a	12374	1	1	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
50.0	n/a	12501	1	1	visual	button_press	n/a	target_detected	attend_visual	201	2
50.04	n/a	12511	1	2	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
50.564	n/a	12642	1	2	visual	button_press	n/a	target_detected	attend_visual	201	2
50.796	n/a	12700	1	3	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
51.452	n/a	12864	1	4	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
51.816	n/a	12955	1	5	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
52.58	n/a	13146	1	6	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
52.856	n/a	13215	1	7	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
53.288	n/a	13323	1	7	visual	button_press	n/a	target_detected	attend_visual	201	2
53.404	n/a	13352	1	8	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
54.192	n/a	13549	1	9	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
54.996	n/a	13750	1	10	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
55.392	n/a	13849	1	11	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
55.764	n/a	13942	2	11	visual	hear_word	unattended	cue_visual	attend_visual	1	2
56.272	n/a	14069	2	12	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
57.072	n/a	14269	2	13	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
57.608	n/a	14403	2	14	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
57.928	n/a	14483	2	15	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
58.16	n/a	14541	3	15	visual	look_word	unattended	cue_visual	attend_visual	2	2
58.376	n/a	14595	3	15	visual	button_press	n/a	target_detected	attend_visual	201	2
58.656	n/a	14665	3	16	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
59.336	n/a	14835	3	17	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
59.9	n/a	14976	3	18	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
60.188	n/a	15048	3	18	visual	button_press	n/a	target_detected	attend_visual	201	2
60.412	n/a	15104	3	19	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
60.68	n/a	15171	3	20	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
61.356	n/a	15340	3	21	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
61.648	n/a	15413	3	21	visual	button_press	n/a	target_detected	attend_visual	201	2
62.036	n/a	15510	3	22	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
62.544	n/a	15637	3	23	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
63.144	n/a	15787	3	24	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
63.5	n/a	15876	3	25	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
63.948	n/a	15988	3	26	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
64.336	n/a	16085	3	27	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
64.576	n/a	16145	3	28	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
64.952	n/a	16239	3	29	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
65.364	n/a	16342	3	30	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
66.144	n/a	16537	4	30	visual	look_word	unattended	cue_visual	attend_visual	2	2
66.66	n/a	16666	4	31	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
67.008	n/a	16753	4	32	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
67.26	n/a	16816	4	32	visual	button_press	n/a	target_detected	attend_visual	201	2
67.328	n/a	16833	4	33	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
68.084	n/a	17022	4	34	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
68.832	n/a	17209	4	35	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
69.052	n/a	17264	4	35	visual	button_press	n/a	target_detected	attend_visual	201	2
69.212	n/a	17304	4	36	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
69.468	n/a	17368	4	37	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
69.892	n/a	17474	4	38	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
70.556	n/a	17640	4	39	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
70.784	n/a	17697	4	39	visual	button_press	n/a	target_detected	attend_visual	201	2
71.196	n/a	17800	4	40	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
71.5	n/a	17876	4	41	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
72.012	n/a	18004	4	42	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
72.036	n/a	18010	4	42	visual	button_press	n/a	target_detected	attend_visual	201	2
72.328	n/a	18083	4	43	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
72.608	n/a	18153	4	44	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
73.388	n/a	18348	4	45	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
74.184	n/a	18547	4	46	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
74.844	n/a	18712	4	47	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
