onset	duration	sample	sub_block	trial	focus_modality	event_type	attention_status	task_role	condition	event_code	cond_code
1.02	n/a	256	0	0	auditory	pause_recording	n/a	n/a	attend_auditory	202	1
6.148	n/a	1538	1	0	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
6.504	n/a	1627	1	1	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
6.712	n/a	1679	1	2	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
7.38	n/a	1846	1	3	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
7.992	n/a	1999	1	4	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
8.512	n/a	2129	1	5	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
8.924	n/a	2232	1	6	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
9.172	n/a	2294	1	7	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
9.516	n/a	2380	1	8	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
9.58	n/a	2396	1	8	auditory	button_press	n/a	target_detected	attend_auditory	201	1
10.016	n/a	2505	1	9	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
10.264	n/a	2567	2	9	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1
10.66	n/a	2666	2	10	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
11.0	n/a	2751	2	11	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
11.764	n/a	2942	2	12	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
12.096	n/a	3025	2	13	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
12.764	n/a	3192	2	14	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
13.056	n/a	3265	2	15	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
13.456	n/a	3365	2	16	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
13.872	n/a	3469	2	17	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
14.1	n/a	3526	2	18	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
14.352	n/a	3589	2	19	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
14.62	n/a	3656	2	20	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
14.964	n/a	3742	3	20	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
15.432	n/a	3859	3	21	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
16.02	n/a	4006	3	22	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
16.432	n/a	4109	3	23	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
16.504	n/a	4127	3	23	auditory	button_press	n/a	target_detected	attend_auditory	201	1
16.7	n/a	4176	3	24	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
17.276	n/a	4320	3	25	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
17.528	n/a	4383	3	26	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
17.772	n/a	4444	3	27	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
17.98	n/a	4496	3	28	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
18.068	n/a	4518	3	28	auditory	button_press	n/a	target_detected	attend_auditory	201	1
18.464	n/a	4617	3	29	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
18.728	n/a	4683	4	29	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1
19.204	n/a	4802	4	30	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
19.584	n/a	4897	4	31	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
19.9	n/a	4976	4	32	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
20.536	n/a	5135	4	32	auditory	button_press	n/a	target_detected	attend_auditory	201	1
20.632	n/a	5159	4	33	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
21.152	n/a	5289	4	34	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
21.476	n/a	5370	4	35	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
21.992	n/a	5499	4	36	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
22.656	n/a	5665	4	37	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
23.272	n/a	5819	5	37	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
23.76	n/a	5941	5	38	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
24.46	n/a	6116	5	39	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
25.212	n/a	6304	5	40	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
25.548	n/a	6388	5	41	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
25.988	n/a	6498	5	42	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
26.292	n/a	6574	5	43	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
26.724	n/a	6682	5	44	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
27.38	n/a	6846	5	45	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
27.904	n/a	6977	5	46	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
28.636	n/a	7160	5	47	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
29.416	n/a	7355	5	48	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
29.748	n/a	7438	5	49	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
30.176	n/a	7545	5	50	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
30.408	n/a	7603	6	50	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1
30.908	n/a	7728	6	51	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
31.224	n/a	7807	6	52	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
31.576	n/a	7895	6	53	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
32.056	n/a	8015	6	54	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
32.436	n/a	8110	6	55	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
32.756	n/a	8190	6	55	auditory	button_press	n/a	target_detected	attend_auditory	201	1
32.904	n/a	8227	6	56	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
33.152	n/a	8289	6	57	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
33.852	n/a	8464	6	58	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
34.448	n/a	8613	6	59	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
35.06	n/a	8766	6	60	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
35.86	n/a	8966	6	61	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
36.208	n/a	9053	6	62	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
36.64	n/a	9161	6	63	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
36.96	n/a	9241	7	63	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
37.42	n/a	9356	7	64	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
37.704	n/a	9427	7	65	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
38.452	n/a	9614	7	66	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
