onset	duration	sample	sub_block	trial	focus_modality	event_type	attention_status	task_role	condition	event_code	cond_code
1.02	n/a	256	0	0	auditory	pause_recording	n/a	n/a	attend_auditory	202	1
5.328	n/a	1333	1	0	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
5.728	n/a	1433	1	1	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
6.076	n/a	1520	1	2	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
6.14	n/a	1536	1	2	auditory	button_press	n/a	target_detected	attend_auditory	201	1
6.732	n/a	1684	1	3	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
7.392	n/a	1849	1	4	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
7.808	n/a	1953	1	5	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
8.372	n/a	2094	1	6	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
8.628	n/a	2158	1	7	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
8.9	n/a	2226	1	8	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
9.44	n/a	2361	1	9	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
9.676	n/a	2420	2	9	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1
10.072	n/a	2519	2	10	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
10.36	n/a	2591	2	11	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
10.988	n/a	2748	2	12	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
11.288	n/a	2823	2	13	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
11.916	n/a	2980	2	14	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
12.284	n/a	3072	2	15	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
12.68	n/a	3171	2	16	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
13.112	n/a	3279	2	17	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
