onset	duration	sample	sub_block	trial	focus_modality	event_type	attention_status	task_role	condition	event_code	cond_code
6.472	n/a	1619	1	0	visual	look_word	unattended	cue_visual	attend_visual	2	2
6.872	n/a	1719	1	1	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
7.384	n/a	1847	1	2	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
7.848	n/a	1963	1	2	visual	button_press	n/a	target_detected	attend_visual	201	2
8.188	n/a	2048	1	3	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
8.972	n/a	2244	1	4	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
9.332	n/a	2334	1	5	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
10.008	n/a	2503	1	6	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
10.252	n/a	2564	1	7	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
10.8	n/a	2701	1	8	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
11.556	n/a	2890	1	9	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
12.224	n/a	3057	1	10	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
12.62	n/a	3156	1	11	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
13.0	n/a	3251	2	11	visual	hear_word	unattended	cue_visual	attend_visual	1	2
13.404	n/a	3352	2	12	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
14.104	n/a	3527	2	13	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
14.612	n/a	3654	2	14	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
14.912	n/a	3729	2	15	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
15.168	n/a	3793	3	15	visual	look_word	unattended	cue_visual	attend_visual	2	2
15.62	n/a	3906	3	16	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
16.348	n/a	4088	3	17	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
16.724	n/a	4182	3	17	visual	button_press	n/a	target_detected	attend_visual	201	2
16.848	n/a	4213	3	18	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
17.292	n/a	4324	3	19	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
17.64	n/a	4411	3	20	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
18.336	n/a	4585	3	21	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
