onset	duration	sample	sub_block	trial	focus_modality	event_type	attention_status	task_role	condition	event_code	cond_code
7.944	n/a	1987	1	0	visual	look_word	unattended	cue_visual	attend_visual	2	2
8.38	n/a	2096	1	1	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
8.812	n/a	2204	1	2	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
9.104	n/a	2277	1	2	visual	button_press	n/a	target_detected	attend_visual	201	2
9.42	n/a	2356	1	3	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
10.108	n/a	2528	1	4	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
10.388	n/a	2598	1	5	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
11.012	n/a	2754	1	6	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
11.364	n/a	2842	1	7	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
11.708	n/a	2928	1	7	visual	button_press	n/a	target_detected	attend_visual	201	2
11.828	n/a	2958	1	8	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
12.468	n/a	3118	1	9	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
13.236	n/a	3310	1	10	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
13.5	n/a	3376	1	11	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
13.752	n/a	3439	2	11	visual	hear_word	unattended	cue_visual	attend_visual	1	2
13.92	n/a	3481	2	11	visual	button_press	n/a	target_detected	attend_visual	201	2
14.128	n/a	3533	2	12	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
14.936	n/a	3735	2	13	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
15.42	n/a	3856	2	14	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
15.768	n/a	3943	2	15	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
16.156	n/a	4040	3	15	visual	look_word	unattended	cue_visual	attend_visual	2	2
16.648	n/a	4163	3	16	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
17.396	n/a	4350	3	17	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
17.748	n/a	4438	3	17	visual	button_press	n/a	target_detected	attend_visual	201	2
17.892	n/a	4474	3	18	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
18.488	n/a	4623	3	19	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
18.788	n/a	4698	3	20	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
19.484	n/a	4872	3	21	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
19.868	n/a	4968	4	21	visual	hear_word	unattended	cue_visual	attend_visual	1	2
20.1	n/a	5026	4	21	visual	button_press	n/a	target_detected	attend_visual	201	2
20.296	n/a	5075	4	22	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
20.772	n/a	5194	4	23	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
21.372	n/a	5344	4	24	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
21.712	n/a	5429	4	25	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
22.272	n/a	5569	4	26	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
22.516	n/a	5630	4	27	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
22.828	n/a	5708	4	28	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
23.224	n/a	5807	4	29	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
23.824	n/a	5957	4	30	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
24.444	n/a	6112	5	30	visual	look_word	unattended	cue_visual	attend_visual	2	2
24.908	n/a	6228	5	31	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
25.148	n/a	6288	5	32	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
25.408	n/a	6353	5	33	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
26.208	n/a	6553	5	34	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
27.004	n/a	6752	5	35	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
27.288	n/a	6823	5	36	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
27.548	n/a	6888	5	37	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
28.032	n/a	7009	5	38	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
28.828	n/a	7208	5	39	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
29.084	n/a	7272	5	39	visual	button_press	n/a	target_detected	attend_visual	201	2
29.548	n/a	7388	5	40	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
29.92	n/a	7481	5	41	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
30.5	n/a	7626	5	42	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
30.776	n/a	7695	5	42	visual	button_press	n/a	target_detected	attend_visual	201	2
30.872	n/a	7719	5	43	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
31.212	n/a	7804	5	44	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
31.844	n/a	7962	5	45	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
32.48	n/a	8121	5	46	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
33.168	n/a	8293	5	47	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
33.46	n/a	8366	6	47	visual	hear_word	unattended	cue_visual	attend_visual	1	2
33.832	n/a	8459	6	48	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
34.156	n/a	8540	6	49	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
34.432	n/a	8609	6	50	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
35.22	n/a	8806	6	51	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
35.82	n/a	8956	6	52	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
36.284	n/a	9072	6	53	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
36.712	n/a	9179	6	54	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
37.504	n/a	9377	6	55	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
38.076	n/a	9520	6	56	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
38.36	n/a	9591	7	56	visual	look_word	unattended	cue_visual	attend_visual	2	2
38.68	n/a	9671	7	57	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
38.984	n/a	9747	7	58	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
39.368	n/a	9843	7	59	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
39.72	n/a	9931	7	59	visual	button_press	n/a	target_detected	attend_visual	201	2
40.144	n/a	10037	7	60	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
40.876	n/a	10220	7	61	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
41.24	n/a	10311	7	62	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
42.052	n/a	10514	7	63	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
42.564	n/a	10642	7	64	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
43.132	n/a	10784	7	65	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
43.176	n/a	10795	7	65	visual	button_press	n/a	target_detected	attend_visual	201	2
43.892	n/a	10974	7	66	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
44.588	n/a	11148	7	67	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
44.808	n/a	11203	7	67	visual	button_press	n/a	target_detected	attend_visual	201	2
44.952	n/a	11239	7	68	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
45.648	n/a	11413	8	68	visual	hear_word	unattended	cue_visual	attend_visual	1	2
45.98	n/a	11496	8	69	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
46.284	n/a	11572	8	70	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
46.688	n/a	11673	8	71	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
47.236	n/a	11810	8	72	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
47.484	n/a	11872	8	73	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
47.82	n/a	11956	8	74	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
47.836	n/a	11960	8	74	visual	button_press	n/a	target_detected	attend_visual	201	2
48.632	n/a	12159	8	75	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
49.012	n/a	12254	8	76	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
49.376	n/a	12345	8	77	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
49.764	n/a	12442	8	78	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
50.5	n/a	12626	8	79	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
50.896	n/a	12725	8	80	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
51.14	n/a	12786	9	80	visual	look_word	unattended	cue_visual	attend_visual	2	2
51.628	n/a	12908	9	81	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
51.896	n/a	12975	9	82	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
52.204	n/a	13052	9	83	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
52.788	n/a	13198	9	84	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
53.148	n/a	13288	9	85	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
53.42	n/a	13356	9	86	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
54.04	n/a	13511	9	87	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
54.6	n/a	13651	9	88	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
55.208	n/a	13803	9	89	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
55.424	n/a	13857	9	90	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
56.052	n/a	14014	9	91	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
56.452	n/a	14114	9	92	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
56.844	n/a	14212	10	92	visual	hear_word	unattended	cue_visual	attend_visual	1	2
57.244	n/a	14312	10	93	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
57.496	n/a	14375	10	94	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
57.832	n/a	14459	10	95	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
58.516	n/a	14630	10	96	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
58.908	n/a	14728	10	97	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
59.284	n/a	14822	10	98	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
59.516	n/a	14880	10	99	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
59.832	n/a	14959	10	100	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
60.508	n/a	15128	10	101	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
60.968	n/a	15243	10	102	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
61.256	n/a	15315	10	103	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
61.496	n/a	15375	10	104	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
61.696	n/a	15425	10	104	visual	button_press	n/a	target_detected	attend_visual	201	2
61.984	n/a	15497	10	105	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
62.332	n/a	15584	10	106	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
63.0	n/a	15751	11	106	visual	look_word	unattended	cue_visual	attend_visual	2	2
63.508	n/a	15878	11	107	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
63.892	n/a	15974	11	108	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
64.488	n/a	16123	11	109	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
64.736	n/a	16185	11	110	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
65.072	n/a	16269	11	110	visual	button_press	n/a	target_detected	attend_visual	201	2
65.112	n/a	16279	11	111	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
65.712	n/a	16429	11	112	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
66.472	n/a	16619	11	113	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
67.104	n/a	16777	11	114	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
67.6	n/a	16901	11	115	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
68.28	n/a	17071	11	116	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
68.96	n/a	17241	12	116	visual	hear_word	unattended	cue_visual	attend_visual	1	2
69.46	n/a	17366	12	117	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
69.844	n/a	17462	12	118	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
