onset	duration	sample	sub_block	trial	focus_modality	event_type	attention_status	task_role	condition	event_code	cond_code
8.272	n/a	2069	1	0	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
8.676	n/a	2170	1	1	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
9.308	n/a	2328	1	2	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
9.968	n/a	2493	1	3	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
10.384	n/a	2597	1	4	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
10.72	n/a	2681	1	5	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
11.436	n/a	2860	1	6	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
11.968	n/a	2993	1	7	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
12.228	n/a	3058	1	8	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
12.988	n/a	3248	1	9	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
13.292	n/a	3324	1	10	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
14.032	n/a	3509	2	10	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1
14.464	n/a	3617	2	11	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
14.944	n/a	3737	2	12	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
15.24	n/a	3811	2	13	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
15.54	n/a	3886	2	14	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
15.92	n/a	3981	2	15	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
16.244	n/a	4062	2	16	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
16.516	n/a	4130	2	17	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
17.28	n/a	4321	2	18	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
17.876	n/a	4470	2	19	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
17.94	n/a	4486	2	19	auditory	button_press	n/a	target_detected	attend_auditory	201	1
18.276	n/a	4570	2	20	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
19.068	n/a	4768	2	21	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
19.24	n/a	4811	2	21	auditory	button_press	n/a	target_detected	attend_auditory	201	1
19.452	n/a	4864	3	21	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
19.98	n/a	4996	3	22	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
20.644	n/a	5162	3	23	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
21.032	n/a	5259	3	24	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
21.156	n/a	5290	3	24	auditory	button_press	n/a	target_detected	attend_auditory	201	1
21.552	n/a	5389	3	25	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
22.252	n/a	5564	3	26	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
22.636	n/a	5660	3	27	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
23.044	n/a	5762	3	28	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
23.712	n/a	5929	3	29	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
24.096	n/a	6025	4	29	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1
24.488	n/a	6123	4	30	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
24.9	n/a	6226	4	31	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
25.384	n/a	6347	4	32	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
25.748	n/a	6438	4	33	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
25.964	n/a	6492	4	34	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
26.276	n/a	6570	4	35	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
26.94	n/a	6736	4	36	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
27.204	n/a	6802	4	37	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
27.52	n/a	6881	4	38	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
28.184	n/a	7047	4	39	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
28.456	n/a	7115	4	39	auditory	button_press	n/a	target_detected	attend_auditory	201	1
28.812	n/a	7204	4	40	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
29.192	n/a	7299	4	41	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
29.94	n/a	7486	4	42	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
30.188	n/a	7548	5	42	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
30.604	n/a	7652	5	43	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
31.332	n/a	7834	5	44	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
31.712	n/a	7929	5	45	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
32.28	n/a	8071	5	46	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
32.504	n/a	8127	5	47	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
33.216	n/a	8305	5	48	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
33.652	n/a	8414	5	49	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
34.056	n/a	8515	5	50	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
34.364	n/a	8592	5	51	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
34.844	n/a	8712	5	52	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
35.504	n/a	8877	5	53	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
36.304	n/a	9077	5	54	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
36.68	n/a	9171	6	54	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1
37.296	n/a	9325	6	55	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
37.596	n/a	9400	6	56	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
38.14	n/a	9536	6	57	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
38.384	n/a	9597	6	58	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
38.672	n/a	9669	6	59	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
39.22	n/a	9806	6	60	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
39.92	n/a	9981	6	61	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
40.312	n/a	10079	6	62	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
40.76	n/a	10191	6	63	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
41.54	n/a	10386	7	63	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
42.036	n/a	10510	7	64	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
42.56	n/a	10641	7	65	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
42.888	n/a	10723	7	66	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
43.008	n/a	10753	7	66	auditory	button_press	n/a	target_detected	attend_auditory	201	1
43.476	n/a	10870	7	67	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
43.936	n/a	10985	7	68	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
44.568	n/a	11143	7	69	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
45.044	n/a	11262	7	69	auditory	button_press	n/a	target_detected	attend_auditory	201	1
45.268	n/a	11318	7	70	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
46.008	n/a	11503	7	71	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
46.24	n/a	11561	7	72	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
46.736	n/a	11685	7	73	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
47.452	n/a	11864	8	73	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1
47.852	n/a	11964	8	74	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
48.424	n/a	12107	8	75	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
48.68	n/a	12171	8	76	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
49.012	n/a	12254	8	77	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
49.292	n/a	12324	8	78	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
49.624	n/a	12407	8	79	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
49.872	n/a	12469	8	80	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
50.344	n/a	12587	8	81	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
50.652	n/a	12664	8	82	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
51.448	n/a	12863	8	83	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
52.092	n/a	13024	8	84	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
52.688	n/a	13173	8	85	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
53.32	n/a	13331	8	86	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
53.576	n/a	13395	9	86	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
54.08	n/a	13521	9	87	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
54.688	n/a	13673	9	88	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
55.24	n/a	13811	9	89	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
55.56	n/a	13891	9	89	auditory	button_press	n/a	target_detected	attend_auditory	201	1
55.596	n/a	13900	9	90	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
55.98	n/a	13996	9	91	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
56.732	n/a	14184	9	92	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
57.124	n/a	14282	9	93	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
57.412	n/a	14354	9	94	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
57.624	n/a	14407	9	95	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
57.72	n/a	14431	9	95	auditory	button_press	n/a	target_detected	attend_auditory	201	1
58.044	n/a	14512	9	96	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
58.688	n/a	14673	10	96	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1
59.104	n/a	14777	10	97	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
59.368	n/a	14843	10	98	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
