onset	duration	sample	sub_block	trial	focus_modality	event_type	attention_status	task_role	condition	event_code	cond_code
1.02	n/a	256	0	0	visual	pause_recording	n/a	n/a	attend_visual	202	2
4.732	n/a	1184	1	0	visual	look_word	unattended	cue_visual	attend_visual	2	2
5.204	n/a	1302	1	1	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
5.616	n/a	1405	1	2	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
6.1	n/a	1526	1	2	visual	button_press	n/a	target_detected	attend_visual	201	2
6.376	n/a	1595	1	3	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
7.18	n/a	1796	1	4	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
7.564	n/a	1892	1	5	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
8.292	n/a	2074	1	6	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
8.616	n/a	2155	1	7	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
9.144	n/a	2287	1	8	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
9.76	n/a	2441	1	9	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
10.44	n/a	2611	1	10	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
10.836	n/a	2710	1	11	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
11.108	n/a	2778	2	11	visual	hear_word	unattended	cue_visual	attend_visual	1	2
11.604	n/a	2902	2	12	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
12.264	n/a	3067	2	13	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
12.736	n/a	3185	2	14	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
13.1	n/a	3276	2	15	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
13.404	n/a	3352	3	15	visual	look_word	unattended	cue_visual	attend_visual	2	2
13.6	n/a	3401	3	15	visual	button_press	n/a	target_detected	attend_visual	201	2
13.784	n/a	3447	3	16	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
14.516	n/a	3630	3	17	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
14.996	n/a	3750	3	17	visual	button_press	n/a	target_detected	attend_visual	201	2
15.012	n/a	3754	3	18	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
15.608	n/a	3903	3	19	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
16.024	n/a	4007	3	20	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
16.752	n/a	4189	3	21	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
17.1	n/a	4276	4	21	visual	hear_word	unattended	cue_visual	attend_visual	1	2
17.58	n/a	4396	4	22	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
18.064	n/a	4517	4	23	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
18.632	n/a	4659	4	24	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
18.908	n/a	4728	4	25	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
19.328	n/a	4833	4	26	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
19.56	n/a	4891	4	27	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
19.976	n/a	4995	4	28	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
20.272	n/a	5069	4	29	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
20.7	n/a	5176	4	30	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
21.472	n/a	5369	5	30	visual	look_word	unattended	cue_visual	attend_visual	2	2
21.96	n/a	5491	5	31	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
22.22	n/a	5556	5	32	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
22.464	n/a	5617	5	33	visual	high_tone	unattended	infrequent_stimulus	attend_visual	3	2
23.216	n/a	5805	5	34	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
23.908	n/a	5978	5	35	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
24.088	n/a	6023	5	35	visual	button_press	n/a	target_detected	attend_visual	201	2
24.224	n/a	6057	5	36	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
24.536	n/a	6135	5	37	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
25.12	n/a	6281	5	38	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
25.864	n/a	6467	5	39	visual	light_bar	attended	infrequent_stimulus	attend_visual	4	2
26.1	n/a	6526	5	39	visual	button_press	n/a	target_detected	attend_visual	201	2
26.616	n/a	6655	5	40	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
26.944	n/a	6737	5	41	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
27.356	n/a	6840	5	42	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
27.56	n/a	6891	5	43	visual	low_tone	unattended	frequent_stimulus	attend_visual	5	2
27.852	n/a	6964	5	44	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
28.5	n/a	7126	5	45	visual	dark_bar	attended	frequent_stimulus	attend_visual	6	2
28.716	n/a	7180	5	45	visual	button_press	n/a	target_detected	attend_visual	201	2
