onset	duration	sample	sub_block	trial	focus_modality	event_type	attention_status	task_role	condition	event_code	cond_code
1.02	n/a	256	0	0	auditory	pause_recording	n/a	n/a	attend_auditory	202	1
5.836	n/a	1460	1	0	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
6.156	n/a	1540	1	1	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
6.444	n/a	1612	1	2	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
7.076	n/a	1770	1	3	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
7.756	n/a	1940	1	4	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
8.196	n/a	2050	1	5	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
8.648	n/a	2163	1	6	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
8.956	n/a	2240	1	7	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
9.172	n/a	2294	1	8	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
9.368	n/a	2343	1	8	auditory	button_press	n/a	target_detected	attend_auditory	201	1
9.652	n/a	2414	1	9	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
10.06	n/a	2516	2	9	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1
10.428	n/a	2608	2	10	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
10.672	n/a	2669	2	11	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
11.332	n/a	2834	2	12	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
11.732	n/a	2934	2	13	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
12.452	n/a	3114	2	14	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
12.776	n/a	3195	2	15	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
13.172	n/a	3294	2	16	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
13.652	n/a	3414	2	17	auditory	light_bar	unattended	infrequent_stimulus	attend_auditory	4	1
13.972	n/a	3494	2	18	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
14.268	n/a	3568	2	19	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
14.284	n/a	3572	2	19	auditory	button_press	n/a	target_detected	attend_auditory	201	1
14.6	n/a	3651	2	20	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
14.876	n/a	3720	3	20	auditory	hear_word	unattended	cue_auditory	attend_auditory	1	1
15.36	n/a	3841	3	21	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
15.812	n/a	3954	3	22	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
16.38	n/a	4096	3	23	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
16.744	n/a	4187	3	24	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
17.168	n/a	4293	3	25	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
17.48	n/a	4371	3	26	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
17.788	n/a	4448	3	27	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
18.076	n/a	4520	3	28	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
18.552	n/a	4639	3	29	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
18.936	n/a	4735	4	29	auditory	look_word	unattended	cue_auditory	attend_auditory	2	1
19.32	n/a	4831	4	30	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
19.636	n/a	4910	4	31	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
19.876	n/a	4970	4	32	auditory	high_tone	attended	infrequent_stimulus	attend_auditory	3	1
20.496	n/a	5125	4	33	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
20.928	n/a	5233	4	34	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
21.308	n/a	5328	4	35	auditory	dark_bar	unattended	frequent_stimulus	attend_auditory	6	1
21.836	n/a	5460	4	36	auditory	low_tone	attended	frequent_stimulus	attend_auditory	5	1
