onset	duration	sample	event_code	cond_code
5.116	n/a	1280	202	2
10.172	n/a	2544	2	2
10.648	n/a	2663	6	2
11.128	n/a	2783	6	2
11.868	n/a	2968	5	2
12.688	n/a	3173	5	2
12.984	n/a	3247	5	2
13.6	n/a	3401	3	2
13.848	n/a	3463	6	2
14.344	n/a	3587	6	2
14.596	n/a	3650	201	2
15.008	n/a	3753	5	2
15.668	n/a	3918	6	2
16.036	n/a	4010	6	2
16.428	n/a	4108	1	2
16.856	n/a	4215	5	2
17.632	n/a	4409	3	2
18.224	n/a	4557	5	2
18.608	n/a	4653	5	2
18.916	n/a	4730	2	2
19.248	n/a	4813	6	2
19.928	n/a	4983	4	2
20.276	n/a	5070	201	2
20.524	n/a	5132	6	2
20.956	n/a	5240	6	2
21.368	n/a	5343	6	2
22.18	n/a	5546	6	2
22.52	n/a	5631	1	2
22.976	n/a	5745	6	2
23.388	n/a	5848	3	2
23.88	n/a	5971	5	2
24.168	n/a	6043	5	2
24.644	n/a	6162	5	2
24.932	n/a	6234	5	2
25.256	n/a	6315	3	2
25.664	n/a	6417	5	2
26.232	n/a	6559	5	2
26.868	n/a	6718	2	2
27.388	n/a	6848	5	2
27.768	n/a	6943	4	2
28.132	n/a	7034	3	2
28.208	n/a	7053	201	2
28.792	n/a	7199	6	2
29.604	n/a	7402	6	2
29.92	n/a	7481	4	2
30.284	n/a	7572	5	2
30.36	n/a	7591	201	2
30.748	n/a	7688	6	2
31.46	n/a	7866	4	2
31.912	n/a	7979	201	2
32.144	n/a	8037	5	2
32.572	n/a	8144	6	2
33.136	n/a	8285	6	2
33.5	n/a	8376	5	2
33.864	n/a	8467	6	2
34.676	n/a	8670	6	2
35.336	n/a	8835	5	2
36.1	n/a	9026	6	2
36.392	n/a	9099	1	2
36.88	n/a	9221	6	2
37.224	n/a	9307	5	2
37.492	n/a	9374	3	2
38.192	n/a	9549	5	2
38.688	n/a	9673	3	2
39.264	n/a	9817	6	2
39.844	n/a	9962	5	2
40.56	n/a	10141	5	2
40.972	n/a	10244	5	2
41.336	n/a	10335	2	2
41.668	n/a	10418	5	2
41.916	n/a	10480	4	2
42.28	n/a	10571	5	2
